mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_brf__n_estimators,param_brf__min_samples_split,param_brf__min_samples_leaf,param_brf__max_features,param_brf__max_depth,param_brf__class_weight,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,split10_test_f1,split11_test_f1,split12_test_f1,split13_test_f1,split14_test_f1,split15_test_f1,split16_test_f1,split17_test_f1,split18_test_f1,split19_test_f1,split20_test_f1,split21_test_f1,split22_test_f1,split23_test_f1,split24_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,split5_test_pr_auc,split6_test_pr_auc,split7_test_pr_auc,split8_test_pr_auc,split9_test_pr_auc,split10_test_pr_auc,split11_test_pr_auc,split12_test_pr_auc,split13_test_pr_auc,split14_test_pr_auc,split15_test_pr_auc,split16_test_pr_auc,split17_test_pr_auc,split18_test_pr_auc,split19_test_pr_auc,split20_test_pr_auc,split21_test_pr_auc,split22_test_pr_auc,split23_test_pr_auc,split24_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,split10_test_roc_auc,split11_test_roc_auc,split12_test_roc_auc,split13_test_roc_auc,split14_test_roc_auc,split15_test_roc_auc,split16_test_roc_auc,split17_test_roc_auc,split18_test_roc_auc,split19_test_roc_auc,split20_test_roc_auc,split21_test_roc_auc,split22_test_roc_auc,split23_test_roc_auc,split24_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.44495621681213376,0.11275988181730198,0.10282459259033203,0.014196095389918915,200,10,8,0.5,20,balanced,"{'brf__n_estimators': 200, 'brf__min_samples_split': 10, 'brf__min_samples_leaf': 8, 'brf__max_features': 0.5, 'brf__max_depth': 20, 'brf__class_weight': 'balanced'}",0.21686746987951808,0.24324324324324326,0.24000000000000002,0.2195121951219512,0.21052631578947367,0.2368421052631579,0.2222222222222222,0.24324324324324326,0.24000000000000002,0.20253164556962025,0.2195121951219512,0.25,0.2368421052631579,0.21686746987951808,0.19999999999999998,0.2191780821917808,0.23076923076923078,0.21686746987951808,0.22784810126582278,0.2222222222222222,0.2368421052631579,0.22499999999999998,0.21686746987951808,0.2195121951219512,0.18181818181818182,0.22380541076033766,0.015199037814139687,13,0.4072151792740028,0.2106661153444779,0.2854100633420463,0.2347885204979988,0.27935055535861986,0.35893564018564017,0.27579236158458165,0.3149946346636327,0.3180556591664883,0.22431374069478904,0.18995365393214858,0.20682690903455717,0.19274082517025504,0.5666734500067834,0.2970831252081252,0.20877980232273674,0.19553318525623278,0.35550144300144304,0.2360433194886349,0.2861451963469771,0.371210713950652,0.26317989389085417,0.2991532495909564,0.31233706348369605,0.17173934179469993,0.2824969457036412,0.08487497839204229,10,0.8080808080808082,0.6531986531986531,0.7239057239057239,0.7542087542087541,0.8339552238805971,0.7676767676767677,0.7323232323232324,0.7491582491582491,0.734006734006734,0.7611940298507462,0.6784511784511784,0.6683501683501682,0.6767676767676767,0.7138047138047137,0.8059701492537313,0.6851851851851851,0.5942760942760943,0.8164983164983164,0.696969696969697,0.7667910447761194,0.7424242424242424,0.7575757575757576,0.8164983164983165,0.7323232323232324,0.6194029850746269,0.7315598773807729,0.060814589872920426,12
0.6453776550292969,0.09695253633452844,0.12051814079284667,0.026537998076067573,300,5,3,sqrt,20,balanced,"{'brf__n_estimators': 300, 'brf__min_samples_split': 5, 'brf__min_samples_leaf': 3, 'brf__max_features': 'sqrt', 'brf__max_depth': 20, 'brf__class_weight': 'balanced'}",0.21428571428571425,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.1927710843373494,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.1927710843373494,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.1927710843373494,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.1927710843373494,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.1927710843373494,0.20998278829604128,0.008605851979345935,19,0.37995744191396363,0.20410678980418934,0.20663789019654172,0.34549033945440144,0.2555335737291382,0.32723417094068585,0.33633834288633047,0.23509361009361007,0.2531243845759975,0.252823990901722,0.2603130203130203,0.2158996320286643,0.24715356831738072,0.3881735223840487,0.27049225816808936,0.2156531185595085,0.1726279956739727,0.3417228619842999,0.20162151382456459,0.33854083229871706,0.44708411142234666,0.24412451904291968,0.2507748290356986,0.20357478337550802,0.15986165676534958,0.27015835030762675,0.07189732247653456,15,0.7895622895622896,0.622895622895623,0.707070707070707,0.7558922558922558,0.8152985074626865,0.797979797979798,0.7407407407407407,0.7289562289562289,0.7255892255892255,0.7164179104477612,0.7222222222222223,0.6565656565656566,0.7087542087542087,0.6986531986531986,0.7630597014925373,0.6447811447811448,0.5151515151515151,0.8181818181818181,0.6986531986531986,0.8227611940298507,0.7878787878787878,0.7121212121212122,0.7693602693602694,0.6952861952861953,0.6063432835820896,0.7208070757324488,0.07121804010659341,16
0.6992629623413086,0.10515926666094627,0.12383579254150391,0.012382128943980554,300,15,3,0.3,20,balanced,"{'brf__n_estimators': 300, 'brf__min_samples_split': 15, 'brf__min_samples_leaf': 3, 'brf__max_features': 0.3, 'brf__max_depth': 20, 'brf__class_weight': 'balanced'}",0.2465753424657534,0.26865671641791045,0.2352941176470588,0.24000000000000002,0.2222222222222222,0.25,0.23376623376623376,0.24615384615384617,0.2352941176470588,0.2285714285714286,0.2647058823529412,0.24615384615384617,0.2608695652173913,0.19999999999999998,0.21333333333333335,0.23880597014925373,0.22535211267605634,0.27692307692307694,0.24000000000000002,0.23880597014925373,0.2608695652173913,0.2535211267605634,0.24000000000000002,0.22499999999999998,0.20338983050847456,0.2397705721733238,0.01864413968251411,9,0.2455282038756855,0.2540283126837679,0.18381824964915,0.21131903996354126,0.2954307844932845,0.30890736452751955,0.29378949128691134,0.20339841653247448,0.29698622763138893,0.22339543345854704,0.22149037906419164,0.2213236654413125,0.21387509304175972,0.395552647766866,0.25516058696205757,0.21406466627054865,0.20824239088259608,0.34367357587945824,0.1911460879545986,0.24024007890376176,0.4272192489126753,0.23456808557238973,0.3704540146152673,0.18440271198080355,0.13593609522782032,0.2549580341031351,0.0695198977948334,24,0.7188552188552189,0.6481481481481481,0.6632996632996632,0.6734006734006734,0.8414179104477613,0.7390572390572391,0.7542087542087542,0.6936026936026936,0.7289562289562289,0.7388059701492538,0.6868686868686869,0.6717171717171717,0.6548821548821548,0.6397306397306397,0.7686567164179104,0.6683501683501684,0.5016835016835017,0.7878787878787878,0.6414141414141414,0.7257462686567164,0.7491582491582491,0.7205387205387205,0.8013468013468014,0.67003367003367,0.542910447761194,0.697226745062566,0.07319629461007077,24
0.7203144454956054,0.05306475500258832,0.12236798286437989,0.025611916243798195,300,5,3,sqrt,16,balanced,"{'brf__n_estimators': 300, 'brf__min_samples_split': 5, 'brf__min_samples_leaf': 3, 'brf__max_features': 'sqrt', 'brf__max_depth': 16, 'brf__class_weight': 'balanced'}",0.21428571428571425,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.1927710843373494,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.1927710843373494,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.1927710843373494,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.1927710843373494,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.1927710843373494,0.20998278829604128,0.008605851979345935,19,0.37995744191396363,0.20410678980418934,0.20663789019654172,0.34549033945440144,0.2555335737291382,0.32723417094068585,0.33633834288633047,0.23509361009361007,0.2531243845759975,0.252823990901722,0.2603130203130203,0.2158996320286643,0.24715356831738072,0.3881735223840487,0.27049225816808936,0.2156531185595085,0.1726279956739727,0.3417228619842999,0.20162151382456459,0.33854083229871706,0.44708411142234666,0.24412451904291968,0.2507748290356986,0.20357478337550802,0.15986165676534958,0.27015835030762675,0.07189732247653456,15,0.7895622895622896,0.622895622895623,0.707070707070707,0.7558922558922558,0.8152985074626865,0.797979797979798,0.7407407407407407,0.7289562289562289,0.7255892255892255,0.7164179104477612,0.7222222222222223,0.6565656565656566,0.7087542087542087,0.6986531986531986,0.7630597014925373,0.6447811447811448,0.5151515151515151,0.8181818181818181,0.6986531986531986,0.8227611940298507,0.7878787878787878,0.7121212121212122,0.7693602693602694,0.6952861952861953,0.6063432835820896,0.7208070757324488,0.07121804010659341,16
0.5463734149932862,0.07872766688713952,0.13481378555297852,0.04128772390080582,200,15,3,0.5,16,balanced,"{'brf__n_estimators': 200, 'brf__min_samples_split': 15, 'brf__min_samples_leaf': 3, 'brf__max_features': 0.5, 'brf__max_depth': 16, 'brf__class_weight': 'balanced'}",0.2571428571428572,0.25,0.24242424242424243,0.25,0.23880597014925373,0.26865671641791045,0.24000000000000002,0.2622950819672132,0.25,0.25,0.25396825396825395,0.2622950819672132,0.26865671641791045,0.1875,0.21917808219178084,0.24242424242424243,0.2352941176470588,0.27692307692307694,0.2535211267605634,0.2666666666666667,0.2622950819672132,0.2727272727272727,0.25,0.2368421052631579,0.1923076923076923,0.24759697541334322,0.021464148058882842,6,0.24503702172513744,0.2811767245100578,0.1819070047229991,0.20641265014024873,0.2634438478188478,0.34060438030771883,0.2764323295670045,0.1685180900062189,0.36342122622032885,0.2178369649845309,0.17621226822011837,0.21202334829588151,0.19107617391766016,0.3967848524645021,0.3203463203463203,0.23385308385308387,0.15289591101322803,0.3161107413031412,0.2015002504718817,0.23956415012813634,0.30162616750852045,0.21022015305902775,0.37094909920996877,0.23654170693597484,0.12591390091390092,0.24921633470577753,0.0707034094741207,25,0.7154882154882155,0.6447811447811448,0.6447811447811447,0.6599326599326599,0.8059701492537313,0.7053872053872053,0.7373737373737373,0.632996632996633,0.7306397306397305,0.746268656716418,0.6397306397306397,0.6531986531986531,0.6397306397306397,0.627946127946128,0.7835820895522388,0.712121212121212,0.4814814814814815,0.7373737373737373,0.6717171717171717,0.7238805970149254,0.7255892255892256,0.7053872053872053,0.7962962962962963,0.6936026936026936,0.5261194029850746,0.6856550580431179,0.07363503320701556,25
0.7749637413024902,0.08280928572118644,0.1506981372833252,0.026934421216106712,300,15,5,0.3,12,balanced,"{'brf__n_estimators': 300, 'brf__min_samples_split': 15, 'brf__min_samples_leaf': 5, 'brf__max_features': 0.3, 'brf__max_depth': 12, 'brf__class_weight': 'balanced'}",0.22784810126582278,0.2535211267605634,0.22535211267605634,0.23376623376623376,0.20779220779220778,0.24000000000000002,0.22499999999999998,0.25,0.25,0.21917808219178084,0.23376623376623376,0.25,0.25,0.2,0.20779220779220778,0.2318840579710145,0.2368421052631579,0.23376623376623376,0.23076923076923078,0.21333333333333335,0.24324324324324326,0.24000000000000002,0.22784810126582278,0.2222222222222222,0.19047619047619047,0.22977604097286222,0.016224223360620366,11,0.38338712296512806,0.200514884281963,0.23073473561979313,0.22149049840273094,0.28384406647274296,0.2824331201416641,0.3202262878733467,0.28580296644812775,0.23701860079286813,0.19812311846251945,0.2107744795967248,0.22557458401378544,0.23019649669266037,0.4877026930948499,0.2651266133674601,0.1972850697495728,0.18813489756112706,0.37670382445978523,0.23994614069757222,0.29944391651708724,0.4119207032406459,0.26972863261299407,0.31615737203972494,0.20249700761025402,0.17108876786296137,0.2694342640231236,0.07672956823434038,17,0.797979797979798,0.632996632996633,0.7138047138047138,0.7222222222222222,0.8320895522388059,0.7542087542087542,0.7727272727272726,0.7407407407407407,0.7272727272727273,0.7257462686567164,0.7121212121212122,0.6767676767676767,0.7222222222222222,0.6851851851851852,0.7947761194029851,0.6616161616161617,0.5521885521885521,0.8215488215488216,0.6952861952861953,0.7854477611940298,0.7626262626262627,0.7558922558922558,0.808080808080808,0.7037037037037037,0.5988805970149254,0.7262452887079752,0.06665237350693023,14
0.8221536350250244,0.0959044209069681,0.1304106616973877,0.014087443929156,300,15,5,0.5,16,balanced,"{'brf__n_estimators': 300, 'brf__min_samples_split': 15, 'brf__min_samples_leaf': 5, 'brf__max_features': 0.5, 'brf__max_depth': 16, 'brf__class_weight': 'balanced'}",0.2571428571428572,0.25,0.25,0.25,0.2285714285714286,0.2535211267605634,0.23376623376623376,0.25,0.25,0.23529411764705882,0.2535211267605634,0.25396825396825395,0.2647058823529412,0.19178082191780824,0.21052631578947367,0.23880597014925373,0.2285714285714286,0.26865671641791045,0.2368421052631579,0.2424242424242424,0.2727272727272727,0.2571428571428572,0.2465753424657534,0.22499999999999998,0.21428571428571427,0.2425531925649909,0.018385812990111286,8,0.3001312203066589,0.27184523295634405,0.23367190614268296,0.21071633842743331,0.28358817421317417,0.2865199617123616,0.28968418081321307,0.23037638978730934,0.3928100355241623,0.23176511200091324,0.19152605405035383,0.24563333852951338,0.21023181352313006,0.5076553260632863,0.28850383631713555,0.21394908384005748,0.15025239075739308,0.3051115659939189,0.21665419251674511,0.32170859128537205,0.39588765727974196,0.26387317513078157,0.31728084191852307,0.20944040916029716,0.14311709532297767,0.2684773569429392,0.07846387061590608,18,0.7929292929292928,0.632996632996633,0.7053872053872053,0.7138047138047139,0.830223880597015,0.7306397306397306,0.765993265993266,0.6986531986531986,0.7306397306397306,0.7649253731343284,0.6818181818181818,0.6986531986531986,0.6851851851851851,0.6835016835016835,0.789179104477612,0.6919191919191919,0.51010101010101,0.7794612794612794,0.7087542087542087,0.7854477611940298,0.7373737373737373,0.7575757575757576,0.8063973063973063,0.6986531986531987,0.5671641791044776,0.717895120357807,0.0707170030488898,19
0.7874498748779297,0.09606881476185973,0.1411877155303955,0.019579501846160842,300,10,8,0.5,12,balanced,"{'brf__n_estimators': 300, 'brf__min_samples_split': 10, 'brf__min_samples_leaf': 8, 'brf__max_features': 0.5, 'brf__max_depth': 12, 'brf__class_weight': 'balanced'}",0.2195121951219512,0.25,0.24000000000000002,0.2222222222222222,0.21052631578947367,0.2368421052631579,0.2222222222222222,0.2465753424657534,0.2465753424657534,0.21052631578947367,0.2222222222222222,0.25,0.2368421052631579,0.2222222222222222,0.19999999999999998,0.21333333333333335,0.23376623376623376,0.21686746987951808,0.22499999999999998,0.2222222222222222,0.2465753424657534,0.22784810126582278,0.21686746987951808,0.21686746987951808,0.19047619047619047,0.2258444977686288,0.015307744754965626,12,0.4108203795338298,0.2123791469997432,0.34233350628699466,0.21170663374334314,0.27600642230576444,0.29984039761346226,0.34061960144293574,0.296383674798144,0.334144803554449,0.23319805194805193,0.19728315337313165,0.2098372824832883,0.19932473892899527,0.5638336023339845,0.29644798136645967,0.2098013521943667,0.1884867056831004,0.34281263006202856,0.20637983657591502,0.2712642439660247,0.3560999131587367,0.28249398749398746,0.3162568669147617,0.304807293358018,0.1588752885487681,0.2824574997867314,0.08574568427362286,12,0.8181818181818181,0.6565656565656566,0.7222222222222222,0.7272727272727272,0.8302238805970148,0.7643097643097643,0.7474747474747474,0.7491582491582491,0.7424242424242424,0.7630597014925373,0.6952861952861953,0.6717171717171717,0.6902356902356902,0.7205387205387205,0.8041044776119403,0.6902356902356901,0.5774410774410774,0.7996632996632996,0.7037037037037037,0.7686567164179103,0.7356902356902357,0.7760942760942761,0.8164983164983165,0.7323232323232323,0.6044776119402985,0.7323023770038694,0.06174281884128127,11
0.5401201343536377,0.09212996795979535,0.12484113693237305,0.030372189563356168,200,15,5,0.5,16,balanced,"{'brf__n_estimators': 200, 'brf__min_samples_split': 15, 'brf__min_samples_leaf': 5, 'brf__max_features': 0.5, 'brf__max_depth': 16, 'brf__class_weight': 'balanced'}",0.24324324324324326,0.2352941176470588,0.25,0.24000000000000002,0.2285714285714286,0.25,0.23376623376623376,0.24242424242424243,0.24242424242424243,0.23188405797101452,0.2535211267605634,0.2622950819672132,0.2647058823529412,0.18666666666666665,0.21333333333333335,0.23880597014925373,0.22535211267605634,0.25,0.24324324324324326,0.24615384615384614,0.2647058823529412,0.2571428571428572,0.2368421052631579,0.2222222222222222,0.2181818181818182,0.2392311885805431,0.017183127869942486,10,0.3535505430242272,0.267882733546364,0.24752475601393248,0.23505947219715337,0.2830113320631896,0.33680682939003925,0.2754904696587176,0.24496949807527402,0.40322813387329515,0.23612715919701216,0.18801918399417894,0.23189424272571738,0.2163496667719489,0.5181783685859773,0.3913966877897084,0.20861803777436227,0.1663498412590972,0.31858305895457606,0.21949450035705298,0.31186868686868685,0.3455334019034071,0.24463197175615475,0.32351066035276566,0.21331652164985498,0.14228823850715577,0.27694735985159397,0.0822149356144977,13,0.7828282828282828,0.6262626262626263,0.7171717171717171,0.7373737373737375,0.8283582089552239,0.7272727272727273,0.7542087542087541,0.7053872053872055,0.7407407407407407,0.7705223880597014,0.6734006734006734,0.6936026936026936,0.6851851851851851,0.6632996632996633,0.7947761194029851,0.6885521885521886,0.5404040404040404,0.7811447811447811,0.6885521885521886,0.7761194029850746,0.7457912457912458,0.7525252525252525,0.7996632996632995,0.702020202020202,0.5708955223880596,0.71784235388713,0.06744498135688641,20
0.5527068996429443,0.07416270890435733,0.1281787395477295,0.04214344668800406,200,5,3,0.5,20,balanced,"{'brf__n_estimators': 200, 'brf__min_samples_split': 5, 'brf__min_samples_leaf': 3, 'brf__max_features': 0.5, 'brf__max_depth': 20, 'brf__class_weight': 'balanced'}",0.3461538461538462,0.2692307692307693,0.32,0.27586206896551724,0.32,0.2962962962962963,0.29090909090909095,0.30434782608695654,0.3076923076923077,0.2857142857142857,0.3018867924528302,0.34782608695652173,0.32727272727272727,0.25,0.29629629629629634,0.2857142857142857,0.20689655172413793,0.3076923076923077,0.30434782608695654,0.26415094339622647,0.2962962962962963,0.32,0.32142857142857145,0.29090909090909095,0.25,0.29547697069101275,0.030702547091563018,1,0.3130219358289534,0.29033104647139735,0.2044533620904219,0.24017777282227715,0.2705211962833914,0.3227082049332689,0.2600916740451624,0.18368963642187774,0.3757165573764627,0.22917604840979452,0.19198292511110845,0.1972907629770375,0.22280560178830036,0.41917614549193494,0.2913802328276013,0.19195458999380569,0.1947637925363613,0.3047157214932976,0.20709780356519486,0.3127849652306174,0.4093715251609989,0.2137930486743696,0.3284931498095749,0.1979174347801799,0.1383435443360891,0.2604703471383792,0.07264652050339684,23,0.7424242424242423,0.6531986531986531,0.6969696969696969,0.7222222222222222,0.8171641791044776,0.7104377104377104,0.7272727272727273,0.6632996632996633,0.7407407407407407,0.7518656716417911,0.6750841750841751,0.6632996632996634,0.702020202020202,0.6801346801346801,0.8003731343283582,0.6666666666666666,0.5235690235690236,0.7895622895622896,0.696969696969697,0.7779850746268657,0.7626262626262627,0.7188552188552189,0.8047138047138047,0.6936026936026936,0.5708955223880596,0.7100781446303834,0.06722345453177705,23
0.7981263732910157,0.11923678411437018,0.16205830574035646,0.04319449768227878,300,5,3,0.3,12,balanced,"{'brf__n_estimators': 300, 'brf__min_samples_split': 5, 'brf__min_samples_leaf': 3, 'brf__max_features': 0.3, 'brf__max_depth': 12, 'brf__class_weight': 'balanced'}",0.3157894736842105,0.2641509433962264,0.3137254901960784,0.27586206896551724,0.326530612244898,0.32727272727272727,0.26666666666666666,0.3333333333333333,0.2962962962962963,0.2608695652173913,0.32142857142857145,0.3181818181818182,0.2857142857142857,0.22641509433962262,0.26923076923076916,0.25,0.21052631578947367,0.339622641509434,0.2857142857142857,0.2857142857142857,0.2807017543859649,0.32,0.33333333333333337,0.2857142857142857,0.2790697674418604,0.2908745754308534,0.03334854535937181,3,0.3201264784598118,0.30773924486928805,0.2090080362629382,0.23776023979842353,0.28658725474582253,0.2845080034261651,0.27507735928788557,0.27015237848571183,0.27024972637875866,0.22236990201314552,0.23507580788282542,0.21415827198379722,0.21856220220881875,0.41779787018184616,0.2438621072732326,0.1886754314430406,0.18198006254172716,0.35323127451610425,0.21120028592467596,0.25957602339181285,0.42899611311177505,0.23204808562512963,0.35762870092241905,0.19356965515312308,0.1390635245429619,0.2623601616172496,0.06979056613199998,22,0.7457912457912458,0.664983164983165,0.7037037037037036,0.7356902356902357,0.833955223880597,0.728956228956229,0.7592592592592593,0.7474747474747474,0.7306397306397306,0.75,0.728956228956229,0.6616161616161615,0.6936026936026936,0.6683501683501684,0.7723880597014925,0.6498316498316498,0.5505050505050505,0.8232323232323232,0.6734006734006734,0.7742537313432836,0.7811447811447811,0.734006734006734,0.7912457912457913,0.6885521885521886,0.5746268656716418,0.718646665661591,0.06653974660805949,18
0.5018977355957032,0.06883404796850717,0.09530473709106445,0.011995081751512177,200,5,8,0.3,16,balanced,"{'brf__n_estimators': 200, 'brf__min_samples_split': 5, 'brf__min_samples_leaf': 8, 'brf__max_features': 0.3, 'brf__max_depth': 16, 'brf__class_weight': 'balanced'}",0.21428571428571425,0.2222222222222222,0.2195121951219512,0.21428571428571425,0.1927710843373494,0.21428571428571425,0.21428571428571425,0.2195121951219512,0.21686746987951808,0.19753086419753085,0.21428571428571425,0.22499999999999998,0.21428571428571425,0.21686746987951808,0.1951219512195122,0.2195121951219512,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.1927710843373494,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.208955223880597,0.21249432964134943,0.008473451199135123,17,0.3959335073060563,0.2031378360635607,0.322576409240649,0.2483841662548233,0.2902229020979021,0.3136091353918715,0.34390464473797805,0.29130768717023975,0.2425170910678157,0.22500744473032208,0.21406993672093597,0.2158970330881086,0.21485379315100675,0.5713331814078082,0.264572810230705,0.18875379755408492,0.19574270021476786,0.3814354727398206,0.24778370756591322,0.2619197648201178,0.42149291370727165,0.27515659041394336,0.34890489245494405,0.25563746921817887,0.16454822295229765,0.2839481244120449,0.08837471038130212,8,0.8148148148148149,0.6397306397306397,0.7104377104377103,0.7626262626262625,0.8339552238805971,0.8047138047138047,0.7491582491582492,0.7525252525252525,0.7272727272727273,0.7257462686567164,0.7121212121212122,0.6936026936026936,0.7205387205387206,0.7104377104377104,0.8022388059701493,0.6515151515151516,0.6010101010101011,0.835016835016835,0.702020202020202,0.791044776119403,0.7643097643097643,0.7575757575757575,0.8215488215488215,0.7407407407407407,0.6231343283582089,0.7379134629880899,0.06325759756048512,7
