mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__n_estimators,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_features,param_rf__max_depth,param_rf__class_weight,param_rf__bootstrap,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,split10_test_f1,split11_test_f1,split12_test_f1,split13_test_f1,split14_test_f1,split15_test_f1,split16_test_f1,split17_test_f1,split18_test_f1,split19_test_f1,split20_test_f1,split21_test_f1,split22_test_f1,split23_test_f1,split24_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,split5_test_pr_auc,split6_test_pr_auc,split7_test_pr_auc,split8_test_pr_auc,split9_test_pr_auc,split10_test_pr_auc,split11_test_pr_auc,split12_test_pr_auc,split13_test_pr_auc,split14_test_pr_auc,split15_test_pr_auc,split16_test_pr_auc,split17_test_pr_auc,split18_test_pr_auc,split19_test_pr_auc,split20_test_pr_auc,split21_test_pr_auc,split22_test_pr_auc,split23_test_pr_auc,split24_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,split10_test_roc_auc,split11_test_roc_auc,split12_test_roc_auc,split13_test_roc_auc,split14_test_roc_auc,split15_test_roc_auc,split16_test_roc_auc,split17_test_roc_auc,split18_test_roc_auc,split19_test_roc_auc,split20_test_roc_auc,split21_test_roc_auc,split22_test_roc_auc,split23_test_roc_auc,split24_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.3975652599334717,0.11593013243986205,0.16115351676940917,0.04163061734227095,200,15,8,0.3,8,balanced,True,"{'rf__n_estimators': 200, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.3, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.13333333333333333,0.0,0.13333333333333333,0.26666666666666666,0.35294117647058826,0.3,0.3157894736842105,0.4,0.3,0.11764705882352941,0.125,0.125,0.28571428571428575,0.5882352941176471,0.2105263157894737,0.23529411764705882,0.2105263157894737,0.26666666666666666,0.1111111111111111,0.3,0.4444444444444444,0.125,0.3333333333333333,0.19999999999999998,0.11764705882352941,0.23992839942994743,0.12651182281465853,11,0.37202380952380953,0.18026546771112995,0.2635846313191851,0.3036069100198232,0.29139918347235416,0.2918239168239168,0.37900650784282497,0.33825868474991283,0.3495230709986443,0.19078156506813848,0.25157653343927855,0.2238939239845037,0.24663775207634858,0.44086874893326505,0.2254700328407225,0.211461697093881,0.27517716851050184,0.3448512136012136,0.23039923039923038,0.3658424908424908,0.4959011120301443,0.26012454292024184,0.39075546652257903,0.19420762902295052,0.1789892199000821,0.2918572203858869,0.08282561767356778,16,0.7693602693602694,0.6245791245791246,0.771043771043771,0.7996632996632996,0.794776119402985,0.7222222222222222,0.765993265993266,0.7996632996632995,0.7828282828282828,0.6847014925373135,0.7744107744107743,0.696969696969697,0.7474747474747474,0.6666666666666666,0.7574626865671642,0.6818181818181819,0.6245791245791246,0.8417508417508417,0.6717171717171717,0.8675373134328358,0.8181818181818183,0.7491582491582491,0.7861952861952862,0.6902356902356902,0.6697761194029851,0.7423506206342028,0.06434731302606174,16
0.4270412731170654,0.08852493950673254,0.23321510314941407,0.12020282343319416,200,5,3,0.3,8,balanced,True,"{'rf__n_estimators': 200, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.3, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.1818181818181818,0.0,0.0,0.0,0.0,0.16666666666666666,0.15384615384615383,0.0,0.0,0.0,0.0,0.0,0.25,0.1818181818181818,0.0,0.0,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.2,0.1818181818181818,0.0,0.0,0.0,0.0,0.07073393273393273,0.08868637862901325,24,0.398599220546895,0.1810225980776528,0.22341569277443446,0.2985993394997226,0.28884830447330445,0.27520548623489804,0.35337132003798666,0.2835454232442013,0.3830397326774138,0.22252300602037403,0.24867436117436115,0.21175004196743327,0.2503484170150837,0.38953870203870206,0.24501706853340247,0.21049441446266842,0.1717259432144526,0.3464225989034173,0.20194933033372414,0.4232302867383512,0.4640876694269353,0.24513003523301005,0.3046010922230434,0.1835558786917576,0.17647190582641403,0.27924671477478563,0.08242740864650065,23,0.7895622895622896,0.6481481481481481,0.7323232323232323,0.7878787878787878,0.791044776119403,0.7188552188552189,0.7609427609427608,0.7929292929292929,0.8131313131313129,0.6567164179104478,0.7643097643097643,0.7053872053872055,0.7171717171717171,0.7053872053872053,0.7574626865671642,0.6868686868686869,0.5808080808080808,0.8282828282828283,0.6531986531986532,0.8731343283582089,0.7727272727272727,0.7289562289562289,0.760942760942761,0.6700336700336701,0.6380597014925373,0.7333705211317152,0.06713354907492843,23
1.0550268650054933,0.2832239313741017,0.37323651313781736,0.1830277993115293,400,5,3,0.5,8,balanced,True,"{'rf__n_estimators': 400, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.5, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.1818181818181818,0.0,0.0,0.0,0.0,0.15384615384615383,0.15384615384615383,0.0,0.0,0.0,0.16666666666666666,0.15384615384615383,0.25,0.3333333333333333,0.0,0.0,0.13333333333333333,0.1818181818181818,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.075006993006993,0.09867417880778519,23,0.3125223543947522,0.1731058507003031,0.20673323616086106,0.3148949815616482,0.28079253468635756,0.2663074819517397,0.3068446851055547,0.2525850130785065,0.41694041321990505,0.22501063213738082,0.22456216864713596,0.20462543303990227,0.2535370755596116,0.38135166427475864,0.24088732448107447,0.19801442821545673,0.1892404077572029,0.3199529900559649,0.1915642269584922,0.40429030614562855,0.44224738090436816,0.2365398423369438,0.2839284873500608,0.19514025384319728,0.2052459775776339,0.2690746060057776,0.07526521559048828,25,0.7828282828282828,0.627946127946128,0.6986531986531986,0.8013468013468013,0.7817164179104477,0.696969696969697,0.7676767676767676,0.7542087542087542,0.8148148148148148,0.6753731343283582,0.7323232323232323,0.7087542087542087,0.7053872053872053,0.6885521885521885,0.75,0.6801346801346801,0.6043771043771043,0.81986531986532,0.6515151515151515,0.8694029850746269,0.7811447811447811,0.7255892255892256,0.7457912457912458,0.6868686868686869,0.6735074626865671,0.728989898989899,0.06269145285580505,25
0.33778881072998046,0.06401553605570487,0.14160992622375487,0.043360748071175924,200,5,5,sqrt,5,balanced,True,"{'rf__n_estimators': 200, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 5, 'rf__max_features': 'sqrt', 'rf__max_depth': 5, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3333333333333333,0.1904761904761905,0.14285714285714285,0.35294117647058826,0.4444444444444445,0.23529411764705882,0.2222222222222222,0.26666666666666666,0.3333333333333333,0.23529411764705882,0.4210526315789474,0.10526315789473685,0.28571428571428575,0.380952380952381,0.2857142857142857,0.1904761904761905,0.2105263157894737,0.4761904761904762,0.125,0.47058823529411764,0.56,0.35294117647058826,0.39999999999999997,0.09999999999999999,0.3157894736842105,0.2974828541943093,0.12147649404136289,6,0.39101273110561036,0.17497419369129896,0.23384958650066545,0.37012064783984866,0.2671172577422577,0.28549418402359583,0.28472047406128753,0.34406957564852303,0.4557403468693791,0.21543916609706082,0.4054029304029304,0.17972546952658525,0.2518464697848775,0.4247808194668098,0.3037785003398766,0.19534485064614737,0.23968187201269908,0.5196426359469837,0.2256573732917819,0.5345813543181964,0.6223665223665225,0.25700459671047904,0.33075167027461716,0.1844945305239423,0.18064496478651826,0.31512970895913983,0.12058647394704809,7,0.8080808080808081,0.6077441077441077,0.7289562289562289,0.803030303030303,0.794776119402985,0.7542087542087542,0.7626262626262625,0.8249158249158249,0.7861952861952861,0.7238805970149254,0.8299663299663299,0.6666666666666666,0.7727272727272727,0.6936026936026934,0.8022388059701493,0.6346801346801347,0.6750841750841751,0.8585858585858586,0.6616161616161615,0.8600746268656717,0.8434343434343434,0.7373737373737373,0.8063973063973064,0.6481481481481481,0.6473880597014925,0.749295944519825,0.07483522931278687,6
0.2735083389282227,0.04752290546803045,0.12337329864501953,0.04049966089833164,200,5,8,sqrt,12,balanced,True,"{'rf__n_estimators': 200, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 8, 'rf__max_features': 'sqrt', 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3333333333333333,0.32,0.11764705882352941,0.380952380952381,0.3478260869565218,0.43478260869565216,0.34782608695652173,0.5,0.380952380952381,0.23529411764705882,0.4210526315789474,0.09999999999999999,0.3636363636363637,0.3636363636363637,0.36363636363636365,0.16,0.25,0.4210526315789474,0.2222222222222222,0.33333333333333326,0.6086956521739131,0.3,0.39999999999999997,0.2608695652173913,0.11764705882352941,0.3233758496061902,0.11864753191709652,1,0.3846830500278776,0.17270233364127907,0.25786890227403275,0.34035342532074564,0.26157496909440014,0.2836161642613256,0.3568338185404652,0.4568585788875644,0.32108697815594367,0.2142079463364293,0.3853974569491811,0.1764829397066239,0.2740537240537241,0.3852521963633075,0.3016629526304449,0.1663632879472023,0.2603984789743303,0.4046296296296296,0.23883035775691144,0.5071259928796694,0.581013431013431,0.26293155314894445,0.5295750237416904,0.20592273242157028,0.1607091534258717,0.31560540308730384,0.11434786766888481,4,0.8047138047138047,0.595959595959596,0.7693602693602694,0.7929292929292929,0.8003731343283583,0.765993265993266,0.7609427609427609,0.8383838383838383,0.7845117845117845,0.7257462686567164,0.7946127946127945,0.6397306397306397,0.7676767676767676,0.6750841750841751,0.8115671641791046,0.601010101010101,0.6228956228956228,0.8383838383838383,0.6851851851851851,0.8731343283582089,0.8737373737373737,0.7744107744107744,0.8232323232323231,0.6666666666666666,0.6380597014925373,0.7489720588974319,0.08283851112729693,8
0.38719030380249025,0.08008638854358312,0.23492411613464356,0.09331362317232438,200,5,8,0.3,8,balanced,True,"{'rf__n_estimators': 200, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.3, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.13333333333333333,0.0,0.13333333333333333,0.26666666666666666,0.35294117647058826,0.3,0.3157894736842105,0.4,0.3,0.11764705882352941,0.125,0.125,0.28571428571428575,0.5882352941176471,0.2105263157894737,0.23529411764705882,0.2105263157894737,0.26666666666666666,0.1111111111111111,0.3,0.4444444444444444,0.125,0.3333333333333333,0.19999999999999998,0.11764705882352941,0.23992839942994743,0.12651182281465853,11,0.37202380952380953,0.18026546771112995,0.2635846313191851,0.3036069100198232,0.29139918347235416,0.2918239168239168,0.37900650784282497,0.33825868474991283,0.3495230709986443,0.19078156506813848,0.25157653343927855,0.2238939239845037,0.24663775207634858,0.44086874893326505,0.2254700328407225,0.211461697093881,0.27517716851050184,0.3448512136012136,0.23039923039923038,0.3658424908424908,0.4959011120301443,0.26012454292024184,0.39075546652257903,0.19420762902295052,0.1789892199000821,0.2918572203858869,0.08282561767356778,16,0.7693602693602694,0.6245791245791246,0.771043771043771,0.7996632996632996,0.794776119402985,0.7222222222222222,0.765993265993266,0.7996632996632995,0.7828282828282828,0.6847014925373135,0.7744107744107743,0.696969696969697,0.7474747474747474,0.6666666666666666,0.7574626865671642,0.6818181818181819,0.6245791245791246,0.8417508417508417,0.6717171717171717,0.8675373134328358,0.8181818181818183,0.7491582491582491,0.7861952861952862,0.6902356902356902,0.6697761194029851,0.7423506206342028,0.06434731302606174,16
0.49210583686828613,0.10846764399064912,0.2609217643737793,0.08344508565437973,200,10,3,0.5,12,balanced,True,"{'rf__n_estimators': 200, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.5, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.16666666666666666,0.0,0.0,0.0,0.375,0.4,0.2857142857142857,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.0,0.15384615384615383,0.125,0.16666666666666666,0.0,0.42857142857142855,0.30769230769230765,0.0,0.16666666666666666,0.0,0.0,0.14525518925518927,0.14136237991819336,22,0.3647486786476502,0.1716859375818132,0.2005632864778515,0.30184968815403596,0.2780049811299811,0.29074697802060495,0.38832329866812626,0.27285261910584907,0.40203397754885173,0.22548533302209772,0.2192892328146412,0.2447135072135072,0.23431905543016654,0.391493709253768,0.22584062209275724,0.20725015725015727,0.20193998508239833,0.3646560846560847,0.19273077832399865,0.3574519230769231,0.45572003560509305,0.25588465539795846,0.3099848717545132,0.18601581554480107,0.1995374340254203,0.27772490583516196,0.07938654351987658,24,0.765993265993266,0.627946127946128,0.6835016835016835,0.8198653198653199,0.7798507462686568,0.6952861952861953,0.7794612794612794,0.7693602693602694,0.8198653198653199,0.6716417910447761,0.7171717171717171,0.7356902356902356,0.6683501683501684,0.7003367003367004,0.7332089552238806,0.696969696969697,0.5942760942760943,0.8501683501683501,0.6397306397306397,0.8694029850746268,0.7845117845117845,0.7424242424242424,0.7491582491582491,0.6750841750841751,0.666044776119403,0.7294120307553144,0.06873949488419474,24
0.6247081565856933,0.14236263506781288,0.21763245582580568,0.06763428102299146,300,15,3,0.3,12,balanced,True,"{'rf__n_estimators': 300, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.3, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.14285714285714285,0.0,0.15384615384615383,0.0,0.47058823529411764,0.3333333333333333,0.375,0.15384615384615383,0.30769230769230765,0.0,0.15384615384615383,0.13333333333333333,0.23529411764705882,0.42857142857142855,0.16666666666666666,0.15384615384615383,0.125,0.14285714285714285,0.13333333333333333,0.5,0.5333333333333333,0.0,0.5,0.0,0.0,0.20572979961215254,0.17293647909199727,17,0.3877462850138565,0.1766188388987463,0.24853195848032922,0.3165845882512549,0.32311757655007084,0.29060369924157303,0.37546296296296294,0.3379827233628403,0.45096496364612304,0.19172760322338459,0.2402848169807234,0.2791589070908901,0.24757284983273686,0.43785400225104104,0.2352592537872782,0.22148530481863815,0.21100289218606968,0.3839380963113215,0.20299562928289216,0.4963949692780338,0.4653310051159514,0.25229102309801754,0.48959786412168965,0.19185069460607096,0.18900840212542067,0.3057346764207166,0.10117830425380378,9,0.7777777777777778,0.6481481481481481,0.7575757575757576,0.8063973063973063,0.7985074626865671,0.702020202020202,0.7575757575757576,0.803030303030303,0.84006734006734,0.667910447761194,0.7491582491582491,0.6936026936026936,0.7205387205387206,0.7053872053872055,0.7462686567164178,0.6986531986531987,0.6127946127946128,0.8686868686868687,0.6565656565656566,0.8936567164179104,0.7912457912457912,0.7407407407407407,0.7912457912457913,0.6885521885521886,0.6604477611940298,0.7430622141816171,0.06980210968086561,15
0.6329116153717042,0.09467124689343494,0.23243081092834472,0.1062881625945647,400,10,8,sqrt,16,balanced,True,"{'rf__n_estimators': 400, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 8, 'rf__max_features': 'sqrt', 'rf__max_depth': 16, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.4210526315789474,0.30769230769230765,0.125,0.4210526315789474,0.380952380952381,0.33333333333333337,0.28571428571428575,0.5555555555555556,0.380952380952381,0.13333333333333333,0.380952380952381,0.09523809523809525,0.43478260869565216,0.39999999999999997,0.2857142857142857,0.16666666666666669,0.2608695652173913,0.5263157894736842,0.125,0.4761904761904762,0.6086956521739131,0.3333333333333333,0.3157894736842105,0.17391304347826086,0.0,0.3171240084603929,0.15123061072911603,3,0.403452345101971,0.1780959560404325,0.27730897058700266,0.3475131034700515,0.27005640232632644,0.29377996949836027,0.3031184481184481,0.4762330911453718,0.38010347004451644,0.19154172757113935,0.40427859177859177,0.18632689149930526,0.2658146375111422,0.3974471596267031,0.29635281385281387,0.16910190548955845,0.2201358532016113,0.477558895353013,0.2342936898492454,0.5610807564132372,0.5653789590571199,0.262328001375989,0.4546763149704326,0.20092740643645157,0.17845167779489815,0.3198142815245493,0.1184999827462409,1,0.8198653198653199,0.6094276094276094,0.771043771043771,0.7946127946127945,0.8097014925373134,0.7760942760942762,0.7558922558922558,0.8619528619528619,0.7929292929292928,0.6921641791044777,0.8097643097643097,0.6447811447811448,0.7777777777777777,0.6952861952861952,0.7835820895522388,0.6043771043771043,0.6397306397306397,0.8855218855218856,0.6868686868686869,0.9048507462686568,0.8552188552188552,0.7609427609427609,0.8215488215488216,0.6548821548821548,0.6492537313432836,0.7543228302929795,0.08563825734671737,1
0.446785945892334,0.10998827714309219,0.20412096977233887,0.08983666739512537,200,5,5,0.5,8,balanced,True,"{'rf__n_estimators': 200, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 5, 'rf__max_features': 0.5, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.15384615384615383,0.0,0.0,0.0,0.26666666666666666,0.35294117647058826,0.375,0.15384615384615383,0.30769230769230765,0.15384615384615385,0.15384615384615383,0.14285714285714285,0.2222222222222222,0.30769230769230765,0.0,0.0,0.11764705882352941,0.14285714285714285,0.11764705882352941,0.39999999999999997,0.5333333333333333,0.0,0.4,0.0,0.0,0.17207764131293543,0.15522687083454578,20,0.3795496986673457,0.16815925512162072,0.2229904434693326,0.276019973206674,0.30893660032379544,0.28530178629748904,0.37384117939673495,0.28696101684607433,0.3519852661957925,0.22905883367839888,0.2443640256520581,0.3006536121448402,0.22757599543313828,0.40397847554073363,0.21982323232323234,0.19494421248309515,0.19876063219549997,0.36248670919723547,0.1951370287876447,0.3713502506265664,0.4578556182004458,0.25716844213221024,0.3412998162998163,0.1920383565120407,0.2108485060690943,0.28244355867203635,0.07773917564504283,20,0.7828282828282829,0.6161616161616161,0.728956228956229,0.7828282828282829,0.8097014925373135,0.7121212121212122,0.7659932659932659,0.7777777777777778,0.7845117845117844,0.6809701492537313,0.7356902356902356,0.7373737373737372,0.7104377104377104,0.7121212121212122,0.7444029850746269,0.6632996632996633,0.5892255892255892,0.8602693602693602,0.6430976430976431,0.8600746268656717,0.7845117845117845,0.7373737373737372,0.7828282828282829,0.6952861952861953,0.6977611940298507,0.735824162018192,0.065752605909128,21
0.5523249340057373,0.08941887140152398,0.12423785209655762,0.013264773994298427,400,15,5,sqrt,12,balanced,True,"{'rf__n_estimators': 400, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 5, 'rf__max_features': 'sqrt', 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3333333333333333,0.10526315789473685,0.13333333333333333,0.3333333333333333,0.35294117647058826,0.39999999999999997,0.3,0.375,0.39999999999999997,0.25,0.39999999999999997,0.10526315789473685,0.3,0.4444444444444444,0.2727272727272727,0.1904761904761905,0.27272727272727276,0.4444444444444444,0.125,0.5,0.56,0.25,0.3333333333333333,0.18181818181818185,0.13333333333333333,0.2998708786225814,0.12418768392427135,5,0.384048303092589,0.17409204254658,0.2555033173454226,0.3545331327701172,0.271313800446865,0.30710471391534516,0.30725372301591813,0.3673185488974963,0.32643259217562626,0.20147703745529832,0.40881185373938994,0.2112950191745292,0.2665756049387763,0.46019187162044306,0.2823824042112598,0.18228445402858195,0.23589021307033778,0.47952492403711916,0.18919050673018925,0.6072128851540617,0.6015519973853307,0.24889351787201247,0.39699517947623,0.19524537934561004,0.16821520634115716,0.31533352915145146,0.12211513815191632,6,0.8063973063973063,0.6043771043771043,0.7592592592592593,0.8047138047138047,0.8097014925373134,0.7693602693602694,0.7693602693602694,0.8434343434343434,0.8080808080808081,0.6940298507462688,0.8198653198653199,0.6599326599326599,0.765993265993266,0.7188552188552189,0.7649253731343284,0.6279461279461279,0.6683501683501684,0.8552188552188551,0.6346801346801347,0.9085820895522387,0.8585858585858587,0.734006734006734,0.8181818181818181,0.6548821548821548,0.6417910447761194,0.7520204532891099,0.08243531746768304,2
0.5701391983032227,0.06088862287999365,0.18713095664978027,0.06656298107239092,400,5,3,sqrt,12,balanced,True,"{'rf__n_estimators': 400, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 3, 'rf__max_features': 'sqrt', 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.25,0.1111111111111111,0.0,0.2857142857142857,0.375,0.2222222222222222,0.26666666666666666,0.25,0.23529411764705882,0.0,0.23529411764705882,0.125,0.3,0.2857142857142857,0.25,0.19999999999999998,0.23529411764705882,0.5,0.15384615384615383,0.5,0.4210526315789474,0.13333333333333333,0.375,0.2222222222222222,0.0,0.23731061061401618,0.1321780740339719,13,0.37968689452065413,0.21883142607316358,0.21887885150080272,0.4094726261392928,0.2680604783586532,0.31097746842844887,0.27267736779931906,0.3482041107041107,0.31650608650608647,0.20031782751594296,0.3020445054448886,0.19364901952544644,0.26886631886631884,0.2937272937848975,0.28015176830966304,0.18070701002157552,0.21872548376958495,0.5023102882370617,0.21586262554983646,0.48681318681318686,0.5764472677259247,0.23559503317124508,0.4202870227210998,0.20214347778863906,0.1644782913165266,0.29941686922369476,0.10683782304022639,13,0.7929292929292929,0.6212121212121212,0.696969696969697,0.8451178451178452,0.8078358208955224,0.7626262626262625,0.7272727272727273,0.8265993265993266,0.803030303030303,0.6958955223880597,0.8063973063973064,0.6734006734006734,0.7457912457912458,0.7003367003367004,0.7705223880597015,0.6195286195286195,0.6868686868686869,0.8737373737373737,0.6498316498316498,0.8694029850746269,0.8400673400673401,0.7070707070707071,0.8198653198653199,0.6868686868686869,0.6305970149253731,0.7463910246746068,0.07777749784793013,10
