threshold,precision,recall,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
0.4599999999999999,0.2259475218658892,0.7045454545454546,-0.15849324804548684,-0.634683724235963,0.0
0.4499999999999999,0.2162849872773536,0.7727272727272727,-0.1780383795309169,-0.6049622019771271,0.0
0.4699999999999999,0.2334494773519163,0.6090909090909091,-0.13656112966166484,-0.6655268133724905,0.0
0.4799999999999999,0.245798319327731,0.5318181818181819,-0.11427751353124495,-0.6975561751681154,0.0
0.4899999999999999,0.258575197889182,0.4454545454545454,-0.09167398302604621,-0.73084159036749,0.0
0.4999999999999999,0.282312925170068,0.3772727272727272,-0.068230277185501,-0.7654584221748397,0.0
0.4399999999999999,0.1970884658454647,0.8,-0.20648035333536394,-0.5763021626561071,0.0
0.4299999999999999,0.1819960861056751,0.8454545454545455,-0.2370291400142146,-0.5486477387498595,0.0
0.4199999999999999,0.1738351254480286,0.8818181818181818,-0.25248143518858907,-0.5219469156679654,0.0
0.4099999999999999,0.1620745542949757,0.9090909090909092,-0.2764085143290808,-0.49615120523291517,0.0
0.3999999999999999,0.1516936671575846,0.9363636363636364,-0.2995735607675908,-0.47121535181236657,0.0
0.5099999999999999,0.2579185520361991,0.2590909090909091,-0.06060441234062916,-0.8014881858926937,0.0
0.3899999999999999,0.1466113416320885,0.9636363636363636,-0.3075430808486839,-0.447097067356426,0.0
0.3799999999999999,0.140625,0.9818181818181818,-0.316115276153793,-0.4237567920764837,0.0
0.3699999999999999,0.1338244321669736,0.990909090909091,-0.3255237418350423,-0.4011574779165395,0.0
0.3599999999999999,0.1283107710417892,0.990909090909091,-0.32785847547974417,-0.37926439232409354,0.0
0.3499999999999999,0.1247872943845717,1.0,-0.32561095620797115,-0.3580449401344922,0.0
0.5199999999999999,0.2777777777777778,0.1818181818181818,-0.03873489694385214,-0.8390191897654582,0.0
0.3399999999999999,0.1213458356315499,1.0,-0.3201686373328163,-0.33746850164760595,0.0
0.3299999999999999,0.1195652173913043,1.0,-0.30805460968080706,-0.3175062852051043,0.0
0.3199999999999999,0.1182795698924731,1.0,-0.2941176470588233,-0.29813119277561745,0.0
0.3099999999999999,0.1177730192719486,1.0,-0.2774018108216678,-0.27931769722814476,0.0
0.3,0.1173959445037353,1.0,-0.26058483094730434,-0.2610417301248858,0.0
0.05,0.1173333333333333,1.0,0.07083941196274265,0.07081135675008415,0.0
0.06,0.1173333333333333,1.0,0.06096039559043685,0.0609263711835957,0.0
0.07,0.1173333333333333,1.0,0.0508689272531352,0.05082880528234403,0.0
0.08,0.1173333333333333,1.0,0.040558079169370514,0.04051172707889125,0.0
0.09,0.1173333333333333,1.0,0.03002061903980878,0.029967899903934017,0.0
0.0999999999999999,0.1173333333333333,1.0,0.01924899312959022,0.019189765458422284,0.0
0.1099999999999999,0.1173333333333333,1.0,0.008235308210153156,0.008169425744471964,0.0
0.12,0.1173333333333333,1.0,-0.0030286877301803072,-0.0031013762357045976,0.0
0.13,0.1173333333333333,1.0,-0.014551626105923657,-0.014631277111977078,0.0
0.1399999999999999,0.1173333333333333,1.0,-0.026342539792730643,-0.02642931521793017,0.0
0.1499999999999999,0.1173333333333333,1.0,-0.038410886742756764,-0.03850495422049406,0.0
0.1599999999999999,0.1173333333333333,1.0,-0.05076657528683108,-0.05086810843740468,0.0
0.1699999999999999,0.1173333333333333,1.0,-0.0634199912657024,-0.0635291699848433,0.0
0.18,0.1173333333333333,1.0,-0.07638202714649754,-0.07649903791148784,0.0
0.19,0.1173333333333333,1.0,-0.08966411329595415,-0.08978914949064203,0.0
0.1999999999999999,0.1173333333333333,1.0,-0.1032782515991471,-0.10341151385927495,0.0
0.2099999999999999,0.1173333333333333,1.0,-0.11723705163153487,-0.117378748211924,0.0
0.2199999999999999,0.1173333333333333,1.0,-0.13155376961347104,-0.1317041167787435,0.0
0.2299999999999999,0.1173333333333333,1.0,-0.14624235040013284,-0.14640157284080507,0.0
0.24,0.1173333333333333,1.0,-0.16131747278644382,-0.16148580406239477,0.0
0.2499999999999999,0.1173333333333333,1.0,-0.1767945984363894,-0.17697228144989324,0.0
0.2599999999999999,0.1173333333333333,1.0,-0.19269002477957692,-0.1928773122802972,0.0
0.2699999999999999,0.1173333333333333,1.0,-0.2090209422554546,-0.20921809738002728,0.0
0.2799999999999999,0.1173333333333333,1.0,-0.22580549632788438,-0.22601279317697215,0.0
0.29,0.1173333333333333,1.0,-0.24306285474038275,-0.2432805789963663,0.0
0.5299999999999999,0.2692307692307692,0.1272727272727272,-0.030758063784421325,-0.8781472576328083,0.0
0.5399999999999999,0.2972972972972973,0.1,-0.02081208862519698,-0.9189765458422172,0.0
0.5499999999999999,0.2045454545454545,0.0409090909090909,-0.018005212035062782,-0.9616204690831553,0.0
0.5599999999999999,0.2307692307692307,0.0272727272727272,-0.010370226788137208,-1.006202752471409,0.0
0.57,0.25,0.0227272727272727,-0.007933753161104763,-1.0528586304358605,0.0
0.58,0.1428571428571428,0.009090909090909,-0.0077672860188850905,-1.1017362168748095,0.0
0.59,0.1428571428571428,0.0045454545454545,-0.0040693743824431455,-1.1529980758229756,0.0
0.6,0.0,0.0,,-1.20682302771855,0.0
0.61,0.0,0.0,,-1.2634082335574874,0.0
0.62,0.0,0.0,,-1.3229716081247898,0.0
0.63,0.0,0.0,,-1.3857546245605947,0.0
0.6399999999999999,0.0,0.0,,-1.452025586353944,0.0
0.6499999999999999,0.0,0.0,,-1.522083460249771,0.0
0.6599999999999999,0.0,0.0,,-1.596262385551235,0.0
0.6699999999999999,0.0,0.0,,-1.674937003295212,0.0
0.6799999999999999,0.0,0.0,,-1.7585287846481874,0.0
0.69,0.0,0.0,,-1.8475135841529675,0.0
0.7,0.0,0.0,,-1.9424307036247332,0.0
0.71,0.0,0.0,,-2.043893831335931,0.0
0.72,0.0,0.0,,-2.1526043253122142,0.0
0.73,0.0,0.0,,-2.2693674484719257,0.0
0.74,0.0,0.0,,-2.3951123503362304,0.0
0.7499999999999999,0.0,0.0,,-2.5309168443496786,0.0
0.7599999999999999,0.0,0.0,,-2.678038379530915,0.0
0.7699999999999999,0.0,0.0,,-2.8379530916844335,0.0
0.7799999999999999,0.0,0.0,,-3.0124055049428167,0.0
0.7899999999999999,0.0,0.0,,-3.2034724337496177,0.0
0.7999999999999999,0.0,0.0,,-3.4136460554370984,0.0
0.8099999999999999,0.0,0.0,,-3.6459432162495777,0.0
0.82,0.0,0.0,,-3.904051172707888,0.0
0.83,0.0,0.0,,-4.19252477110247,0.0
0.84,0.0,0.0,,-4.517057569296375,0.0
0.8499999999999999,0.0,0.0,,-4.884861407249462,0.0
0.8599999999999999,0.0,0.0,,-5.305208650624423,0.0
0.8699999999999999,0.0,0.0,,-5.790224700672456,0.0
0.8799999999999999,0.0,0.0,,-6.3560767590618275,0.0
0.8899999999999999,0.0,0.0,,-7.02481100988563,0.0
0.8999999999999999,0.0,0.0,,-7.827292110874192,0.0
0.91,0.0,0.0,,-8.808102345415783,0.0
0.92,0.0,0.0,,-10.034115138592758,0.0
0.93,0.0,0.0,,-11.610417301248868,0.0
0.94,0.0,0.0,,-13.712153518123655,0.0
0.95,0.0,0.0,,-16.654584221748387,0.0
